sample_index,layout,rig_id,camera_index,camera_name,camera_role,mount_wall,valid_depth_fraction,far_no_hit_fraction,raw_mb,width,height
37,N1_mirrored_head,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.965625,0.034375000000000044,1.2288,640,480
37,N1_mirrored_head,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9660774739583333,0.03392252604166668,1.2288,640,480
37,N1_mirrored_head,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9716145833333333,0.02838541666666672,1.2288,640,480
2,C2_radial_echo,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9673111979166666,0.03268880208333336,1.2288,640,480
2,C2_radial_echo,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9708463541666666,0.029153645833333353,1.2288,640,480
2,C2_radial_echo,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9664778645833333,0.03352213541666671,1.2288,640,480
2,C2_radial_echo,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9624837239583334,0.03751627604166663,1.2288,640,480
6,C2_radial_echo,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9670768229166666,0.032923177083333366,1.2288,640,480
6,C2_radial_echo,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9708723958333333,0.02912760416666671,1.2288,640,480
6,C2_radial_echo,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9743782552083333,0.02562174479166668,1.2288,640,480
6,C2_radial_echo,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9632747395833333,0.03672526041666668,1.2288,640,480
10,C2_radial_echo,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9688411458333334,0.03115885416666664,1.2288,640,480
10,C2_radial_echo,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9731510416666667,0.02684895833333334,1.2288,640,480
10,C2_radial_echo,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9726725260416667,0.027327473958333348,1.2288,640,480
10,C2_radial_echo,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9635123697916667,0.036487630208333344,1.2288,640,480
14,C2_radial_echo,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9713313802083333,0.028668619791666683,1.2288,640,480
14,C2_radial_echo,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9713736979166666,0.028626302083333388,1.2288,640,480
14,C2_radial_echo,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9706868489583333,0.029313151041666652,1.2288,640,480
14,C2_radial_echo,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9646940104166667,0.03530598958333331,1.2288,640,480
18,C2_radial_echo,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.968583984375,0.03141601562499996,1.2288,640,480
18,C2_radial_echo,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9726041666666667,0.027395833333333286,1.2288,640,480
18,C2_radial_echo,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.966962890625,0.03303710937500004,1.2288,640,480
18,C2_radial_echo,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9654524739583333,0.034547526041666665,1.2288,640,480
22,C2_radial_echo,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.972529296875,0.027470703124999996,1.2288,640,480
22,C2_radial_echo,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.9726302083333334,0.027369791666666643,1.2288,640,480
22,C2_radial_echo,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9694368489583334,0.030563151041666625,1.2288,640,480
22,C2_radial_echo,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9648958333333333,0.035104166666666714,1.2288,640,480
26,C2_radial_echo,4CamClassic,0,DepthCam_BL,legacy_corner_back_left,corner_minusX_minusZ,0.9685709635416667,0.03142903645833328,1.2288,640,480
26,C2_radial_echo,4CamClassic,1,DepthCam_BR,legacy_corner_back_right,corner_plusX_minusZ,0.971162109375,0.028837890624999973,1.2288,640,480
26,C2_radial_echo,4CamClassic,2,DepthCam_FL,legacy_corner_front_left,corner_minusX_plusZ,0.9699772135416667,0.03002278645833334,1.2288,640,480
26,C2_radial_echo,4CamClassic,3,DepthCam_FR,legacy_corner_front_right,corner_plusX_plusZ,0.9621419270833333,0.03785807291666665,1.2288,640,480
